x	id	Time	FoodType	RUS NAME	Голод	Жажда	Calories	Proteins	Lipids	Carbohydrates	CantEat	CannedFood	EvolvedRecipe	evo_out
1	Base.CakePrep			Заготовка для торта	-30		800	8	48	50				Ананас; Апельсин; Банан; Виноград; Вишня; Груша; Жевательные мишки; Жевательные червячки; Желейные бобы; Клубника; Коф. зёрна в шоколаде; Красивоплодник; Лайм; Леденцы; Лимон; Мёд; Манго; Мармелад; Мармеладки; Маршмеллоу; Открыт. консерв. ананасы; Открыт. консерв. персики; Открыт. консерв. фруктовый коктейль; Открыт. консерв. фруктовый напиток; Открыт. сгущёнка; Падуб; Падуб мутовчатый; Персик; Сахар-кандис на палочке; Сахарная глазурь; Фруктовый джем; Цукаты; Шоколад; Шоколадная крошка; Яблоко; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды
2	Base.CakeRaw			Торт	-15		560	10	53	9				
	Base.CakeRedVelvet			Кусочек торта «Красный бархат»	-8		80	10	12	4				
	Base.CakeSlice			Кусочек торта	-7		70	5	5	1				
	Base.CakeStrawberryShortcake			Кусочек клубничного торта	-8		75	10	12	4				
	Base.CandyCorn	20	Candy	Кукурузная конфета	-10		32	0	0	14			ConeIcecream:5	
	Base.CandyFruitSlices	20	Candy	Цукаты	-5		40	0	0,5	10			Cake:5;ConeIcecream:5	
	Base.CandyPackage			Пакет леденцов			500	0	2,5	125	TRUE			
	Base.Candycane			Конфета	-10		16,6	0	0	4,33				
	Base.CannedBellPepper			Банка перца										
	Base.CannedBolognese			Консерв. болоньезе			540	18	22	68	TRUE	TRUE		
	Base.CannedBologneseOpen	240	Meat	Открыт. консерв. болоньезе	-24		540	18	22	68		TRUE	Burger:12;Stew:24;Stir fry Griddle Pan:24;Stir fry:24;Roasted Vegetables:24;RicePot:24;RicePan:24;PastaPot:24;PastaPan:24;Omelette:12	
	Base.CannedBroccoli			Банка брокколи										
	Base.CannedCabbage			Банка капусты										
	Base.CannedCarrots			Банка моркови										
	Base.CannedCarrots2			Консерв. морковь			10,5	0	0	28	TRUE	TRUE		
	Base.CannedCarrotsOpen	50	Vegetables	Открыт. консерв. морковь	-12	-4	10,5	0	0	28		TRUE	Omelette:6;Soup:12;Stew:12;Pie:12;Stir fry Griddle Pan:12;Stir fry:12;Sandwich:6;Sandwich Baguette:6;Salad:6;Roasted Vegetables:12;RicePot:12;RicePan:12;PastaPot:12;PastaPan:12	
	Base.CannedChili			Консерв. мясо с чили			260	16	7	33	TRUE	TRUE		
	Base.CannedChiliOpen	240	Meat	Открыт. консерв. мясо с чили	-16		260	16	7	33		TRUE	Stew:16;Stir fry Griddle Pan:16;Stir fry:16;Roasted Vegetables:16;RicePot:16;RicePan:16;Taco:8;Burrito:8;Omelette:8;Burger:8;Sandwich:8;Sandwich Baguette:8	
	Base.CannedCorn			Консерв. кукуруза			315	7	1,75	70	TRUE	TRUE		
	Base.CannedCornOpen	60	Vegetables	Открыт. консерв. кукуруза	-16	-4	315	7	1,75	70		TRUE	Soup:16;Stew:16;Stir fry Griddle Pan:16;Stir fry:16;Burger:8;Salad:16;Roasted Vegetables:16;RicePot:16;RicePan:16;PastaPot:16;PastaPan:16;Omelette:8;Taco:8;Burrito:8	
	Base.CannedCornedBeef			Консерв. говядина			720	78	48	0	TRUE	TRUE		
	Base.CannedCornedBeefOpen	240	Beef	Открыт. консерв. говядина	-24		720	78	48	0		TRUE	Pizza:12;Burger:12;Omelette:8;Stew:12;Stir fry Griddle Pan:12;Stir fry:12;Sandwich:8;Sandwich Baguette:8;Salad:12;Roasted Vegetables:12;PastaPot:12;PastaPan:12;RicePot:12;RicePan:12	
	Base.CannedEggplant			Банка баклажана										
	Base.CannedFruitBeverage			Консерв. фруктовый напиток			250	10	24	0	TRUE	TRUE		
	Base.CannedFruitBeverageOpen	20	Juice	Открыт. консерв. фруктовый напиток	-15	-85	250	10	24	0		TRUE	Cake:15;FruitSalad:15;Pancakes:15;Waffles:15;Muffin:15;Beverage:5;Beverage2:5	
	Base.CannedFruitCocktail			Консерв. фруктовый коктейль			250	10	24	0	TRUE	TRUE		
	Base.CannedFruitCocktailOpen	30	Fruits	Открыт. консерв. фруктовый коктейль	-15		250	10	24	0		TRUE	Cake:15;FruitSalad:15;Pancakes:15;Waffles:15;Muffin:15;ConeIcecream:5;PieSweet:15;Oatmeal:5	
	Base.CannedLeek			Банка лука-порея										
	Base.CannedMilk			Сгущёнка			110	8	2,5	13				
	Base.CannedMilkOpen	120	Milk	Открыт. сгущёнка	-10	-10	110	8	2,5	13		TRUE	FruitSalad:2;Pancakes:2;Waffles:2;HotDrink:2;HotDrinkRed:2;HotDrinkWhite:2;HotDrinkSpiffo:2;HotDrinkTea:2;Beverage:5;Beverage2:5;Oatmeal:2;PieSweet:5;Cake:5	
	Base.CannedMushroomSoup			Консерв. грибной суп			160	3	8	19	TRUE	TRUE		
	Base.CannedMushroomSoupOpen	330	Mushroom	Открыт. консерв. грибной суп	-10	-4	160	3	8	19		TRUE	Omelette:5;Soup:10;Stew:10;Stir fry Griddle Pan:10;Stir fry:10;Burger:5;Salad:10;Roasted Vegetables:10;RicePot:10;RicePan:10;PastaPot:10;PastaPan:10	
	Base.CannedPeaches			Консерв. персики			250	10	24	0	TRUE	TRUE		
	Base.CannedPeachesOpen	40	Fruits	Открыт. консерв. персики	-15		250	10	24	0		TRUE	Cake:15;FruitSalad:15;Pancakes:15;Waffles:15;Muffin:15;PieSweet:15;Oatmeal:5	
	Base.CannedPeas			Консерв. горох			280	14	0	52,5	TRUE	TRUE		
	Base.CannedPeasOpen	150	Vegetables	Открыт. консерв. горох	-16	-3	280	14	0	52,5		TRUE	Omelette:8;Soup:16;Stew:16;Stir fry Griddle Pan:16;Stir fry:16;Roasted Vegetables:16;RicePot:16;RicePan:16	
	Base.CannedPineapple			Консерв. ананас			250	10	24	0	TRUE	TRUE		
	Base.CannedPineappleOpen	50	Fruits	Открыт. консерв. ананасы	-15		250	10	24	0		TRUE	Pizza:15;Cake:15;FruitSalad:15;Pancakes:5;Waffles:5;Muffin:15;ConeIcecream:5;PieSweet:15;Oatmeal:5	
	Base.CannedPotato			Банка картофеля										
	Base.CannedPotato2			Консерв. картофель			175	2,5	0	35	TRUE	TRUE		
	Base.CannedPotatoOpen	60	Vegetables	Открыт. консерв. картофель	-18	-7	175	2,5	0	35		TRUE	Omelette:9;Soup:18;Stew:18;Pie:18;Stir fry Griddle Pan:18;Stir fry:18;Salad:9;Roasted Vegetables:18	
	Base.CannedRedRadish			Банка редиса										
	Base.CannedSardines	50		Консерв. сардины			150	14	11	0	TRUE	TRUE		
	Base.CannedSardinesOpen	50	Fish	Открыт. консерв. сардины	-14		150	14	11	0		TRUE	Pizza:14;Stew:14;Stir fry Griddle Pan:14;Stir fry:14;RicePot:14;RicePan:14;Sandwich:7;Sandwich Baguette:7;Omelette:7;Toast:7	
	Base.CannedTomato			Банка томата										
	Base.CannedTomato2			Консерв. томат			90	3	0	18	TRUE	TRUE		
	Base.CannedTomatoOpen	30	Vegetables	Открыт. консерв. томат	-12	-8	90	3	0	18		TRUE	Pizza:12;Omelette:12;Soup:12;Stew:12;Pie:12;Stir fry Griddle Pan:12;Stir fry:12;Sandwich:6;Sandwich Baguette:6;Burger:6;Salad:6;Roasted Vegetables:12;RicePot:12;RicePan:12;PastaPot:12;PastaPan:12	
	Base.Carrots	50	Vegetables	Морковь	-8	-4	25	0,57	0,15	5,84			Soup:8;Stew:8;Pie:8;Stir fry Griddle Pan:8;Stir fry:8;Sandwich:4;Sandwich Baguette:4;Salad:4;Roasted Vegetables:8;RicePot:8;RicePan:8;PastaPot:8;PastaPan:8	
	Base.Catfish	30		Сом	-15		215	28	4	1				
	Base.Centipede			Сороконожка	-5		60	15,21	6,5	3,5				
	Base.Centipede2			Сороконожка	-5		60	15,21	6,5	3,5				
	Base.Cereal			Сухой завтрак	-40		2360	52	26	572				
	Base.CerealBowl			Миска сухого завтрака	-8	-20	295	6,5	3,25	71,5				
	Base.Cheese	300	Cheese	Сыр	-15		113	6,4	9,33	0,87			Pizza:15;Soup:10;Sandwich:5;Sandwich Baguette:5;Burger:5;Salad:5;PastaPot:10;PastaPan:10;Taco:5;Burrito:5;Bread:5;Toast:5	
	Base.CheeseSandwich			Бутерброд с сыром	-15		366	12	22,5	28				
	Base.Cherry	40	Fruits	Вишня	-3	-1	5	0,09	0	1,31			Cake:3;FruitSalad:3;Pancakes:3;Waffles:3;Muffin:3;ConeIcecream:3;PieSweet:3;Oatmeal:5	
	Base.Chicken	90	Poultry	Курица	-36		150	18	9	0			Pizza:12;Soup:18;Stew:18;Pie:12;Stir fry Griddle Pan:18;Stir fry:18;Sandwich:6|Cooked;Sandwich Baguette:6|Cooked;Burger:12|Cooked;Salad:6|Cooked;Roasted Vegetables:18;RicePot:18;RicePan:18;PastaPot:18;PastaPan:18;Taco:6|Cooked;Burrito:12|Cooked	
	Base.ChickenFoot	90		Куриная лапка	-12		70	16	14	17				
	Base.ChickenFried	90	NoExplicit	Жареная курица	-15		260	16	14	17			Sandwich:15;Sandwich Baguette:15;Burger:15;Salad:15;Taco:15;Burrito:15	
	Base.ChickenNuggets	90	NoExplicit	Куриные наггетсы	-10		230	26,441	8,1	10,2			Sandwich:5;Sandwich Baguette:5;Burger:10;Salad:5;Taco:5;Burrito:10	
	Base.Chives	-1	Herb	Зелёный лук	-1		0,1	0	0	0			Pizza:1;Omelette:1;PastaPan:1;PastaPot:1;Roasted Vegetables:1;Salad:1;Sandwich:1;Sandwich Baguette:1;Soup:1;Stew:1;Bread:1;Toast:1;Burger:1	
	Base.ChocoCakes			Шоколадное пирожное	-10		200	1,8	8	30				
	Base.Chocolate	120	NoExplicit	Шоколад	-20		850	10	66	110			Cake:20;PieSweet:20;Bread:10;ConeIcecream:5	
	Base.ChocolateChips	120	Chocolate	Шоколадная крошка	-6		50	1	8	17			Muffin:3;ConeIcecream:3;Cake:6;Pancakes:3;Waffles:3;PieSweet:6;Bread:6;ConeIcecream:3	
	Base.ChocolateCoveredCoffeeBeans		NoExplicit	Коф. зёрна в шоколаде	-5		40	0	0,5	10			Cake:5;ConeIcecream:5	
	Base.Cigarettes			Сигарета	0									
	Base.Cilantro	-1	Herb	Кинза	-1		0,1	0	0	0			Pizza:1;Omelette:1;Burrito:1;Salad:1;Sandwich:1;Sandwich Baguette:1;Soup:1;Stew:1;Taco:1;Burger:1	
	Base.CinnamonRoll			Булочка с корицей	-12		350	4	24	50				
	Base.Cockroach			Таракан	-5		30	7,41	3,9	1,27				
	Base.CocoaPowder	90	Cocoa	Какао-порошок	-30	50	60	2	5	8			HotDrink:5;HotDrinkRed:5;HotDrinkWhite:5;HotDrinkSpiffo:5;HotDrinkTea:5;ConeIcecream:5;Pancakes:5;Waffles:5	
	Base.Coffee2	90	Coffee	Кофе	-30	60	2	1	0	0			HotDrink:5;HotDrinkRed:5;HotDrinkWhite:5;HotDrinkSpiffo:5;HotDrinkTea:5	
	Base.ColdCuppa			Кружка холодного напитка	-5	-50	4	0,12	0	0,75				
	Base.ColdDrinkRed			Кружка холодного напитка	-5	-50	4	0,12	0	0,75				
	Base.ColdDrinkSpiffo			Кружка холодного напитка	-5	-50	4	0,12	0	0,75				
	Base.ColdDrinkWhite			Кружка холодного напитка	-5	-50	4	0,12	0	0,75				
	Base.CommonMallow	-1	Herb	Мальва придорожная	-1		0,1	0	0	0			HotDrink:1;HotDrinkRed:1;HotDrinkWhite:1;HotDrinkSpiffo:1;HotDrinkTea:1;Soup:1;Stew:1;Stir fry Griddle Pan:1;Stir fry:1;Sandwich:1;Sandwich Baguette:1;Salad:1	
	Base.Cone			Рожок	-5		15	2	5	10				
1	Base.ConeIcecream	130		Мороженое в рожке	-15		470	20	44	120				Ананас; Арахис; Арахисовое масло; Банан; Вишня; Жевательные мишки; Жевательные червячки; Желейные бобы; Какао-порошок; Кленовый сироп; Клубника; Коф. зёрна в шоколаде; Красивоплодник; Красная лакрица; Кукурузная конфета; Лакричные сладости; Леденцы; Мёд; Мармелад; Мармеладки; Маршмеллоу; Открыт. консерв. ананасы; Открыт. консерв. фруктовый коктейль; Падуб; Падуб мутовчатый; Сахар-кандис на палочке; Сахарная глазурь; Соленья; Фруктовый джем; Цукаты; Черная лакрица; Шоколад; Шоколадная крошка; Шоколадная крошка; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды
	Base.ConeIcecreamMelted	130		Растаявший рожок мороженого	-15		470	20	44	120				
2	Base.ConeIcecreamToppings	130		Рожок мороженого	-15		470	20	44	120				
	Base.CookieChocolateChip			Печенье	-5		160	1	8	22				
	Base.CookieChocolateChipDough			Противень с печеньем с шок. крошкой	-23		960	1	48	132				
	Base.CookieJelly			Печенье с малиной	-5		160	1	8	22				
	Base.CookiesChocolate			Шоколадное печенье	-5		170	2	9	25				
	Base.CookiesChocolateDough			Противень с шоколадным печеньем	-23		1020	12	54	150				
	Base.CookiesOatmeal			Овсяное печенье	-5		110	1	6	20				
	Base.CookiesOatmealDough			Противень с овсяным печеньем	-23		660	6	36	120				
	Base.CookiesShortbread			Песочное печенье	-5		120	2	8	22				
	Base.CookiesShortbreadDough			Противень с песочным печеньем	-23		720	12	48	132				
	Base.CookiesSugar			Сахарное печенье	-5		120	2	8	22				
	Base.CookiesSugarDough			Противень с сахарным печеньем	-23		720	12	48	132				
	Base.Corn	60	Vegetables	Кукуруза	-14	-4	88	4,68	1,93	26,74			Soup:14;Stew:14;Stir fry Griddle Pan:14;Stir fry:14;Burger:7;Salad:7;Roasted Vegetables:14;RicePot:14;RicePan:14;PastaPot:14;PastaPan:14;Burrito:7;Taco:7	
	Base.CornFrozen	60	Vegetables	Кукуруза	-20	-5	396	15	5	94			Soup:10;Stew:10;Stir fry Griddle Pan:10;Stir fry:10;Roasted Vegetables:10;RicePot:10;RicePan:10;Omelette:5	
	Base.Cornbread		NoExplicit	Кукурузный хлеб	-10		300	7	10	54			Soup:5;Stew:5	
	Base.Corndog			Корн-дог	-12		180	19	9	7				
	Base.Crackers		NoExplicit	Крекеры	-5		70	1	6	12			Soup:5;Stew:5	
	Base.Crappie			Краппи	-15		165	35	1	1				
